	call	fold	raise
AA 	0	0	9818
AK 	0	0	19871
AKs	0	0	6624
AQ 	0	0	19606
AQs	0	0	6448
AJ 	0	0	19883
AJs	0	0	6680
AT 	0	0	19927
ATs	0	0	6467
A9 	0	0	20432
A9s	0	0	6520
A8 	0	0	20235
A8s	0	0	7014
A7 	0	0	19950
A7s	0	0	6671
A6s	0	0	6484
A5 	0	0	19860
A5s	0	0	6800
A4s	0	0	6862
A3s	0	0	6481
KK 	0	0	9747
KQ 	0	0	19813
KQs	0	0	6707
KJs	0	0	6564
KTs	0	0	6589
K9 	0	0	19925
K9s	0	0	6496
K8s	0	0	6714
K7 	0	0	19994
K7s	0	0	6840
K6s	0	0	6727
K5s	0	0	6599
K4s	0	0	6322
QQ 	0	0	10258
QJs	0	0	6653
QTs	0	0	6715
Q9s	0	0	6716
Q8s	0	0	6643
Q6s	0	0	6577
Q5s	0	0	6859
Q4s	0	0	6728
JJ 	0	0	9924
JT 	0	0	19657
JTs	0	0	6538
J9s	0	0	6832
J8s	0	0	6966
J6s	0	0	6570
J3s	0	0	6843
TT 	0	0	9731
T9 	0	0	20008
T9s	0	0	6964
T8 	0	0	19685
T8s	0	0	6709
T7s	0	0	6634
T6s	0	0	6408
99 	0	0	10061
98s	0	0	6670
97s	0	0	6423
95s	0	0	6853
88 	0	0	10136
87s	0	0	6685
86s	0	0	7036
77 	0	0	10138
76s	0	0	6714
75s	0	0	6557
66 	0	0	10157
65s	0	0	6555
64s	0	0	6798
55 	0	0	10149
54s	0	0	6326
44 	0	0	10346
43s	0	0	6599
33 	0	0	9976
J5 	0	625	19818
Q8 	0	626	19456
96s	0	486	6337
J7s	0	648	6082
QJ 	0	2017	18504
J4s	0	1011	5594
53s	0	1170	5707
65 	0	5064	15086
K6 	0	5104	14160
Q7 	0	6324	13681
QT 	0	6634	12776
T4s	0	2687	4161
A3 	0	7809	12069
73s	0	2601	3992
97 	0	7951	12157
J9 	0	8019	12228
87 	0	7774	11808
KT 	0	7567	11469
76 	0	7883	11903
A2 	0	8019	12074
KJ 	0	8026	12078
J2s	0	2660	3997
A4 	0	7990	12004
84s	0	2673	4005
T7 	0	8125	12158
J5s	0	2557	3824
75 	0	7821	11674
Q7s	0	2716	4037
42s	0	2777	4124
K3s	0	2684	3976
J4 	0	8160	12006
A6 	0	8073	11866
63s	0	2686	3937
Q9 	0	8194	12001
T3s	0	2646	3869
K8 	0	8177	11931
74s	0	2607	3803
52s	0	2598	3788
K2s	0	2748	4006
98 	0	8352	12155
T2s	0	2723	3962
93s	0	2780	4036
54 	0	8450	12265
Q3s	0	2723	3951
85s	0	2842	4056
22 	0	4339	6171
K5 	0	8199	11632
Q3 	0	8150	11377
Q2s	0	2659	3699
Q5 	0	8164	11357
Q6 	0	8474	11722
J8 	0	8486	11705
T5s	0	2819	3839
85 	0	8616	11694
A2s	0	2821	3826
Q4 	0	8381	11328
94s	0	2787	3752
86 	0	8542	11478
J7 	0	8762	11612
K3 	0	8665	11224
T6 	0	8781	11196
92s	0	3016	3828
K4 	0	8901	11146
K2 	0	8981	11035
95 	0	8963	10865
72s	0	3002	3637
32s	0	3104	3734
T5 	0	9097	10889
64 	0	9378	11216
82s	0	3016	3589
96 	0	9128	10860
J6 	0	9302	11049
62s	0	3172	3754
J3 	0	9382	10547
Q2 	0	9731	10875
T4 	0	9934	10772
83s	0	3167	3430
43 	10853	9472	389
53 	10569	8471	1036
93 	10866	9757	0
T3 	10788	9409	0
63 	10987	9577	0
92 	10556	9116	0
94 	10617	9068	0
74 	10919	9321	0
J2 	11025	9374	0
T2 	11036	9225	0
84 	11129	9277	0
73 	18592	2073	0
62 	19451	1102	0
83 	18962	1061	0
82 	19816	1095	0
72 	19098	1040	0
52 	19095	1014	0
42 	19069	982	0
32 	19389	981	0
